Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.
"Sun, Mar 10, 2019",New Orleans Pelicans,116,Atlanta Hawks,128,"14,337"
"Sun, Mar 10, 2019",Orlando Magic,97,Memphis Grizzlies,105,"16,627"
"Sun, Mar 10, 2019",Houston Rockets,94,Dallas Mavericks,93,"20,423"
"Sun, Mar 10, 2019",New York Knicks,92,Minnesota Timberwolves,103,"13,806"
"Sun, Mar 10, 2019",Milwaukee Bucks,114,San Antonio Spurs,121,"18,594"
"Sun, Mar 10, 2019",Phoenix Suns,115,Golden State Warriors,111,"19,596"
"Mon, Mar 11, 2019",Toronto Raptors,101,Cleveland Cavaliers,126,"19,432"
"Mon, Mar 11, 2019",Sacramento Kings,115,Washington Wizards,121,"15,012"
"Mon, Mar 11, 2019",Detroit Pistons,75,Brooklyn Nets,103,"17,732"
"Mon, Mar 11, 2019",Charlotte Hornets,106,Houston Rockets,118,"18,055"
"Mon, Mar 11, 2019",Oklahoma City Thunder,98,Utah Jazz,89,"18,306"
"Mon, Mar 11, 2019",Boston Celtics,115,Los Angeles Clippers,140,"19,068"
"Tue, Mar 12, 2019",New York Knicks,98,Indiana Pacers,103,"16,679"
"Tue, Mar 12, 2019",Cleveland Cavaliers,99,Philadelphia 76ers,106,"20,420"
"Tue, Mar 12, 2019",Los Angeles Lakers,123,Chicago Bulls,107,"21,359"
"Tue, Mar 12, 2019",San Antonio Spurs,112,Dallas Mavericks,105,"20,366"
"Tue, Mar 12, 2019",Milwaukee Bucks,130,New Orleans Pelicans,113,"15,562"
"Tue, Mar 12, 2019",Minnesota Timberwolves,107,Denver Nuggets,133,"16,874"
"Tue, Mar 12, 2019",Portland Trail Blazers,125,Los Angeles Clippers,104,"16,686"
"Wed, Mar 13, 2019",Brooklyn Nets,96,Oklahoma City Thunder,108,"18,203"
"Wed, Mar 13, 2019",Orlando Magic,90,Washington Wizards,100,"15,107"
"Wed, Mar 13, 2019",Memphis Grizzlies,111,Atlanta Hawks,132,"15,169"
"Wed, Mar 13, 2019",Detroit Pistons,74,Miami Heat,108,"19,600"
"Wed, Mar 13, 2019",Golden State Warriors,106,Houston Rockets,104,"18,122"
"Wed, Mar 13, 2019",Utah Jazz,114,Phoenix Suns,97,"18,055"
"Thu, Mar 14, 2019",Oklahoma City Thunder,106,Indiana Pacers,108,"16,656"
"Thu, Mar 14, 2019",Cleveland Cavaliers,91,Orlando Magic,120,"18,091"
"Thu, Mar 14, 2019",Sacramento Kings,120,Boston Celtics,126,"18,624"
"Thu, Mar 14, 2019",Los Angeles Lakers,98,Toronto Raptors,111,"19,962"
"Thu, Mar 14, 2019",Minnesota Timberwolves,100,Utah Jazz,120,"18,306"
"Thu, Mar 14, 2019",Dallas Mavericks,99,Denver Nuggets,100,"19,520"
"Fri, Mar 15, 2019",Los Angeles Lakers,97,Detroit Pistons,111,"20,768"
"Fri, Mar 15, 2019",Sacramento Kings,114,Philadelphia 76ers,123,"20,704"
"Fri, Mar 15, 2019",Charlotte Hornets,116,Washington Wizards,110,"19,520"
